--------------------------------------------------------------------------------

		Marvellous Infosystems Process Log
		Log file is created at : Mon Jun 23 00:24:25 2025
--------------------------------------------------------------------------------
{'name': 'System Idle Process', 'username': 'NT AUTHORITY\\SYSTEM', 'pid': 0, 'vms': 0.05859375} 
{'name': 'svchost.exe', 'username': None, 'pid': 5068, 'vms': 3.0078125} 

{'name': 'RtkBtManServ.exe', 'username': None, 'pid': 5156, 'vms': 2.6015625} 

{'name': 'svchost.exe', 'username': None, 'pid': 5168, 'vms': 1.328125} 

{'name': 'UltraViewer_Service.exe', 'username': None, 'pid': 5176, 'vms': 21.7109375} 

{'name': 'WMIRegistrationService.exe', 'username': None, 'pid': 5188, 'vms': 2.8359375} 

{'name': 'Code.exe', 'username': 'DESKTOP-E8PGFTM\\admin', 'pid': 5216, 'vms': 395.28125} 

{'name': 'svchost.exe', 'username': None, 'pid': 5272, 'vms': 2.29296875} 

{'name': 'FileCoAuth.exe', 'username': 'DESKTOP-E8PGFTM\\admin', 'pid': 5316, 'vms': 7.4921875} 

{'name': 'svchost.exe', 'username': None, 'pid': 5376, 'vms': 4.8984375} 

{'name': 'svchost.exe', 'username': None, 'pid': 5384, 'vms': 1.7734375} 

{'name': 'svchost.exe', 'username': None, 'pid': 5548, 'vms': 2.0859375} 

{'name': 'msedge.exe', 'username': 'DESKTOP-E8PGFTM\\admin', 'pid': 5740, 'vms': 8.140625} 

{'name': 'msedgewebview2.exe', 'username': 'DESKTOP-E8PGFTM\\admin', 'pid': 5784, 'vms': 102.28125} 

{'name': 'chrome.exe', 'username': 'DESKTOP-E8PGFTM\\admin', 'pid': 5912, 'vms': 118.953125} 

{'name': 'WindowsTerminal.exe', 'username': 'DESKTOP-E8PGFTM\\admin', 'pid': 5932, 'vms': 85.82421875} 

{'name': 'svchost.exe', 'username': None, 'pid': 5948, 'vms': 1.921875} 

{'name': 'igfxEMN.exe', 'username': 'DESKTOP-E8PGFTM\\admin', 'pid': 5960, 'vms': 3.87890625} 

{'name': 'svchost.exe', 'username': 'DESKTOP-E8PGFTM\\admin', 'pid': 6024, 'vms': 3.36328125} 

{'name': 'svchost.exe', 'username': None, 'pid': 6088, 'vms': 1.7890625} 

{'name': 'AggregatorHost.exe', 'username': None, 'pid': 6460, 'vms': 4.2734375} 

{'name': 'svchost.exe', 'username': 'DESKTOP-E8PGFTM\\admin', 'pid': 6484, 'vms': 2.0546875} 

{'name': 'powershell.exe', 'username': 'DESKTOP-E8PGFTM\\admin', 'pid': 6504, 'vms': 48.36328125} 

{'name': 'svchost.exe', 'username': 'DESKTOP-E8PGFTM\\admin', 'pid': 6584, 'vms': 9.98828125} 

{'name': 'svchost.exe', 'username': None, 'pid': 6636, 'vms': 9.26171875} 

{'name': 'Code.exe', 'username': 'DESKTOP-E8PGFTM\\admin', 'pid': 6884, 'vms': 1020.36328125} 

{'name': 'svchost.exe', 'username': None, 'pid': 6892, 'vms': 1.296875} 

{'name': 'msedgewebview2.exe', 'username': 'DESKTOP-E8PGFTM\\admin', 'pid': 6928, 'vms': 12.61328125} 

{'name': 'msedgewebview2.exe', 'username': 'DESKTOP-E8PGFTM\\admin', 'pid': 7116, 'vms': 38.22265625} 

{'name': 'cmd.exe', 'username': 'DESKTOP-E8PGFTM\\admin', 'pid': 7136, 'vms': 2.67578125} 

{'name': 'svchost.exe', 'username': None, 'pid': 7244, 'vms': 2.6484375} 

{'name': 'ShellHost.exe', 'username': 'DESKTOP-E8PGFTM\\admin', 'pid': 7444, 'vms': 42.0625} 

{'name': 'svchost.exe', 'username': None, 'pid': 7548, 'vms': 6.53515625} 

{'name': 'Code.exe', 'username': 'DESKTOP-E8PGFTM\\admin', 'pid': 7608, 'vms': 188.80859375} 

{'name': 'chrome.exe', 'username': 'DESKTOP-E8PGFTM\\admin', 'pid': 7668, 'vms': 192.98046875} 

{'name': 'msedgewebview2.exe', 'username': 'DESKTOP-E8PGFTM\\admin', 'pid': 7680, 'vms': 9.24609375} 

{'name': 'RuntimeBroker.exe', 'username': 'DESKTOP-E8PGFTM\\admin', 'pid': 7972, 'vms': 1.85546875} 

{'name': 'SecurityHealthSystray.exe', 'username': 'DESKTOP-E8PGFTM\\admin', 'pid': 8040, 'vms': 1.80859375} 

{'name': 'svchost.exe', 'username': None, 'pid': 8056, 'vms': 5.03515625} 

{'name': 'RuntimeBroker.exe', 'username': 'DESKTOP-E8PGFTM\\admin', 'pid': 8068, 'vms': 7.40234375} 

{'name': 'OfficeClickToRun.exe', 'username': None, 'pid': 8280, 'vms': 48.0859375} 

{'name': 'MpDefenderCoreService.exe', 'username': None, 'pid': 8408, 'vms': 10.203125} 

{'name': 'svchost.exe', 'username': None, 'pid': 8468, 'vms': 2.03515625} 

{'name': 'taskhostw.exe', 'username': 'DESKTOP-E8PGFTM\\admin', 'pid': 8580, 'vms': 6.1953125} 

{'name': 'svchost.exe', 'username': None, 'pid': 8620, 'vms': 9.6640625} 

{'name': 'svchost.exe', 'username': None, 'pid': 8648, 'vms': 1.0078125} 

{'name': 'csrss.exe', 'username': None, 'pid': 9116, 'vms': 2.93359375} 

{'name': 'dllhost.exe', 'username': 'DESKTOP-E8PGFTM\\admin', 'pid': 9452, 'vms': 1.33984375} 

{'name': 'Code.exe', 'username': 'DESKTOP-E8PGFTM\\admin', 'pid': 9756, 'vms': 134.3203125} 

{'name': 'ctfmon.exe', 'username': 'DESKTOP-E8PGFTM\\admin', 'pid': 9972, 'vms': 7.6171875} 

{'name': 'svchost.exe', 'username': None, 'pid': 10008, 'vms': 10.6171875} 

{'name': 'svchost.exe', 'username': None, 'pid': 10032, 'vms': 10.4375} 

